Frame_Pair,MSE,Inverse SSIM,LPIPS
51_vs_52,92.877094,0.045006,0.026192
52_vs_53,98.261293,0.045841,0.027518
53_vs_54,100.266827,0.044794,0.027200
54_vs_55,102.660087,0.045367,0.025773
55_vs_56,99.119712,0.047182,0.024216
56_vs_57,94.171954,0.041397,0.022760
57_vs_58,81.454503,0.029483,0.018257
58_vs_59,66.298331,0.026315,0.014268
59_vs_60,56.044749,0.021768,0.012604
60_vs_61,46.231467,0.023310,0.013717
61_vs_62,44.740325,0.031988,0.016070
62_vs_63,39.405446,0.031994,0.013373
63_vs_64,35.493080,0.037065,0.016122
64_vs_65,42.531842,0.062402,0.023768
65_vs_66,33.586834,0.052593,0.017681
66_vs_67,19.135864,0.028935,0.011417
67_vs_68,12.052071,0.020569,0.010267
68_vs_69,14.878259,0.026071,0.012424
69_vs_70,22.178546,0.044313,0.016338
70_vs_71,37.394097,0.068908,0.020244
71_vs_72,45.112223,0.075612,0.021624
72_vs_73,43.270544,0.071773,0.022675
73_vs_74,43.924001,0.072619,0.024132
74_vs_75,41.132054,0.060957,0.023790
75_vs_76,40.546339,0.046783,0.022516
76_vs_77,57.249773,0.065743,0.045000
77_vs_78,65.410568,0.060477,0.028923
78_vs_79,57.438688,0.049934,0.025382
79_vs_80,58.455279,0.041422,0.020793
80_vs_81,63.398290,0.045889,0.025591
81_vs_82,67.394508,0.051449,0.024659
82_vs_83,66.316309,0.039901,0.023220
83_vs_84,62.660471,0.032613,0.020202
84_vs_85,59.686247,0.031368,0.017666
85_vs_86,54.627311,0.030050,0.017508
86_vs_87,45.020026,0.026778,0.016960
87_vs_88,41.197462,0.026031,0.018030
88_vs_89,37.089215,0.034445,0.018589
89_vs_90,48.240121,0.053210,0.025054
90_vs_91,54.687870,0.050827,0.024927
91_vs_92,50.352274,0.039210,0.021067
92_vs_93,50.181176,0.034751,0.020771
93_vs_94,39.645803,0.029979,0.019856
94_vs_95,39.217345,0.039182,0.022689
95_vs_96,40.826401,0.044058,0.021838
96_vs_97,40.972665,0.041059,0.020731
97_vs_98,59.593732,0.059235,0.025439
98_vs_99,65.215366,0.069073,0.026405
99_vs_100,44.864405,0.056534,0.021860
100_vs_101,40.754540,0.059440,0.023324
